udgangspunkt,direction,measurement_number,rising_or_falling,analytical_value,attempted_value,measured_value,date,equipment,costumer_equipment,task_number
0,cw,1,None,0,0.001,0.0,20231215 10:16:0.935,ROQ437,AN1183180,???
0,cw,1,rising,0.5,0.001,0.0,20231215 10:16:8.772,ROQ437,AN1183180,???
0,cw,1,rising,36.0,0.001,0.0,20231215 10:16:11.789,ROQ437,AN1183180,???
0,cw,1,rising,72.0,0.001,0.0,20231215 10:16:12.614,ROQ437,AN1183180,???
0,cw,1,rising,90.0,0.001,0.0,20231215 10:16:13.446,ROQ437,AN1183180,???
0,cw,1,rising,108.0,0.001,0.0,20231215 10:16:14.278,ROQ437,AN1183180,???
0,cw,1,rising,144.0,0.001,0.0,20231215 10:16:15.116,ROQ437,AN1183180,???
0,cw,1,rising,180.0,0.001,0.0,20231215 10:16:16.918,ROQ437,AN1183180,???
0,cw,1,rising,216.0,0.001,0.0,20231215 10:16:16.198,ROQ437,AN1183180,???
0,cw,1,rising,252.0,0.001,0.0,20231215 10:16:18.38,ROQ437,AN1183180,???
0,cw,1,rising,270.0,0.001,0.0,20231215 10:16:19.823,ROQ437,AN1183180,???
0,cw,1,rising,288.0,0.001,0.0,20231215 10:16:19.629,ROQ437,AN1183180,???
0,cw,1,rising,324.0,0.001,0.0,20231215 10:16:20.393,ROQ437,AN1183180,???
0,cw,1,rising,360.0,0.001,0.0,20231215 10:16:21.66,ROQ437,AN1183180,???
0,cw,1,rising,540.0,0.001,0.0,20231215 10:16:22.743,ROQ437,AN1183180,???
0,cw,1,rising,3420.0,0.001,0.0,20231215 10:16:22.561,ROQ437,AN1183180,???
0,cw,1,rising,3590.0,0.001,0.0,20231215 10:16:23.316,ROQ437,AN1183180,???
0,ccw,1,None,0,0.0,0.0,20231215 10:16:25.509,ROQ437,AN1183180,???
0,ccw,1,rising,-0.5,0.0,0.0,20231215 10:16:30.258,ROQ437,AN1183180,???
0,ccw,1,rising,-36.0,0.0,0.0,20231215 10:16:31.985,ROQ437,AN1183180,???
0,ccw,1,rising,-72.0,0.0,0.0,20231215 10:16:31.750,ROQ437,AN1183180,???
0,ccw,1,rising,-90.0,0.0,0.0,20231215 10:16:32.601,ROQ437,AN1183180,???
0,ccw,1,rising,-108.0,0.0,0.0,20231215 10:16:33.353,ROQ437,AN1183180,???
0,ccw,1,rising,-144.0,0.0,0.0,20231215 10:16:34.138,ROQ437,AN1183180,???
0,ccw,1,rising,-180.0,0.0,0.0,20231215 10:16:35.937,ROQ437,AN1183180,???
0,ccw,1,rising,-216.0,0.0,0.0,20231215 10:16:35.497,ROQ437,AN1183180,???
0,ccw,1,rising,-252.0,0.0,0.0,20231215 10:16:37.144,ROQ437,AN1183180,???
0,ccw,1,rising,-270.0,0.0,0.0,20231215 10:16:38.879,ROQ437,AN1183180,???
0,ccw,1,rising,-288.0,0.0,0.0,20231215 10:16:38.613,ROQ437,AN1183180,???
0,ccw,1,rising,-324.0,0.0,0.0,20231215 10:16:39.401,ROQ437,AN1183180,???
0,ccw,1,rising,-360.0,0.0,0.0,20231215 10:16:40.100,ROQ437,AN1183180,???
0,ccw,1,rising,-540.0,0.0,0.0,20231215 10:16:41.910,ROQ437,AN1183180,???
0,ccw,1,rising,-3420.0,0.0,0.0,20231215 10:16:41.711,ROQ437,AN1183180,???
0,ccw,1,rising,-3590.0,0.0,0.0,20231215 10:16:42.536,ROQ437,AN1183180,???
